ç,,,,,
Município,ibge,latitude,longitude,IMERS/IQA/IQA 2022 (-),IMERS/IQA/IQA 2023 (-)
Itapuca,4310579,"-28,780296","-52,172367","88,69565","53,19449"
Itaqui,4310603,"-29,128637","-56,557133","39,8","62,8844"
Itati,4310652,"-29,500248","-50,101782",50,"92,28586"
Itatiba do Sul,4310702,"-27,383292","-52,452443","71,90476","60,45562"
Ivorá,4310751,"-29,519534","-53,580886","62,45255","65,86882"
Ivoti,4310801,"-29,594157","-51,159574","67,06161","75,2003"
Jaboticaba,4310850,"-27,631222","-53,284389","60,3125","79,45037"
Jacuizinho,4310876,"-29,033816","-53,056551","39,52381","79,60378"
Jacutinga,4310900,"-27,728494","-52,543173","80,71429","62,4602"
Jaguarão,4311007,"-32,563569","-53,377523","43,44633","39,0359"
Jaguari,4311106,"-29,497347","-54,693847","53,69565","51,48733"
Jaquirana,4311122,"-28,880568","-50,358037","37,1875","65,35047"
Jari,4311130,"-29,290081","-54,219936","65,52632","28,01845"
Jóia,4311155,"-28,645624","-54,115965","47,14286","82,87801"
Júlio de Castilhos,4311205,"-29,226449","-53,6831","53,75","35,61555"
Lagoa Bonita do Sul,4311239,"-29,494131","-53,016983",62,"51,14744"
Lagoa dos Três Cantos,4311270,"-28,569468","-52,857835","89,44444","85,70009"
Lagoa Vermelha,4311304,"-28,20887","-51,527229","43,81443","75,89132"
Lagoão,4311254,"-29,224316","-52,775029","73,33333","42,01188"
Lajeado,4311403,"-29,465454","-51,967828","62,09581","65,86882"
Lajeado do Bugre,4311429,"-27,690769","-53,181387","62,45255","65,86882"
Lavras do Sul,4311502,"-30,81201","-53,898477","27,27273","72,76517"
Liberato Salzano,4311601,"-27,59647","-53,074861","67,6","44,73097"
Lindolfo Collor,4311627,"-29,600804","-51,208155","68,63636","51,81214"
Linha Nova,4311643,"-29,462639","-51,201902","72,5","94,9208"
Maçambará,4311718,"-29,146144","-56,063613","43,78378","64,04322"
Machadinho,4311700,"-27,56814","-51,667507","42,5","78,61066"
Mampituba,4311734,"-29,210649","-49,936514","66,89655","60,51436"
Manoel Viana,4311759,"-29,580537","-55,491663","84,375","41,17806"
Maquiné,4311775,"-29,679137","-50,203395","74,07407","40,91008"
Maratá,4311791,"-29,555323","-51,555567","74,73684","80,8306"
Marau,4311809,"-28,448454","-52,196777","61,69139","68,60014"
Marcelino Ramos,4311908,"-27,461391","-51,913319","86,2963","53,45576"
Mariana Pimentel,4311981,"-30,353622","-51,587343","41,39535","69,51127"
Mariano Moro,4312005,"-27,352613","-52,148892","62,45255","73,52942"
Marques de Souza,4312054,"-29,329137","-52,097804","82,12121","36,84772"
Mata,4312104,"-29,569392","-54,452435","36,11111","69,1042"
Mato Castelhano,4312138,"-28,275762","-52,197261","55,41667","64,02376"
Mato Leitão,4312153,"-29,52483","-52,133029","73,90244","69,9734"
Mato Queimado,4312179,"-28,255816","-54,616837","61,57895","82,72048"
Maximiliano de Almeida,4312203,"-27,634941","-51,801718",62,"79,01814"
Minas do Leão,4312252,"-30,12244","-52,05128","80,96154","55,78027"
Miraguaí,4312302,"-27,496076","-53,685994","40,2381","93,60317"
Montauri,4312351,"-28,653207","-52,076108","80,90909","97,66431"
Monte Alegre dos Campos,4312377,"-28,685072","-50,782834","48,15789","66,9364"
Monte Belo do Sul,4312385,"-29,159941","-51,631559","71,48148","70,71104"
Montenegro,4312401,"-29,688119","-51,461299","54,4","71,65822"
Mormaço,4312427,"-28,693351","-52,692826","62,10526","77,95357"
Morrinhos do Sul,4312443,"-29,362964","-49,932763","58,94737","74,85312"
Morro Redondo,4312450,"-31,582203","-52,65778","53,22581","77,17751"
